,username,password,apple,apricot,banana,bean,beef,bread,broccoli,butter,cabbage,carrot,cauliflower,celery,chicken,chilli,chocolate,cookie,corn,cucumber,egg,eggplant,fig,fish,garlic,grape,ham,icecream,kiwi,lamb,lemon,lettuce,lime,mango,milk,mushroom,onion,orange,pea,pear,pineapple,pork,potato,pumpkin,radish,rib,rice,salmon,sausage,spinach,spring onion,strawberry,sweet potato,tofu,tomato,watermelon,zucchini
111,TEST112,TEST112,3,7,1,8,5,7,10,7,6,4,4,2,2,1,8,7,6,6,6,9,5,1,1,6,0,10,10,8,1,8,1,6,8,0,3,8,0,10,7,1,0,2,5,5,3,4,5,5,5,3,3,0,4,4,9
112,TEST113,TEST113,1,6,6,0,4,5,3,0,6,4,0,5,8,7,10,2,2,3,5,9,5,3,6,2,7,3,5,3,5,2,4,0,0,7,6,6,5,2,0,4,9,3,2,3,5,4,3,4,3,2,1,9,1,10,3
113,TEST114,TEST114,2,7,2,8,1,1,9,0,3,6,6,3,3,8,3,5,10,4,10,2,3,10,0,6,2,2,0,2,8,4,9,1,0,5,4,4,4,3,0,5,5,9,4,5,1,8,10,1,2,7,4,6,1,6,0
114,TEST115,TEST115,0,2,9,5,2,9,10,7,7,10,10,2,8,10,9,4,9,4,9,7,10,0,4,8,6,5,6,8,0,5,10,0,2,7,1,9,5,7,3,8,10,9,4,2,8,10,4,4,2,10,5,0,2,4,9
115,TEST116,TEST116,9,4,2,6,2,6,9,10,6,6,6,2,4,1,8,5,1,9,3,3,9,10,10,1,9,3,7,4,10,10,3,7,3,8,3,7,0,1,8,10,10,4,4,5,7,1,5,8,0,2,7,10,8,5,3
116,TEST117,TEST117,3,3,0,3,10,0,8,4,0,8,8,10,1,9,0,1,9,0,2,5,9,7,4,9,2,3,8,8,8,7,1,1,8,3,4,8,3,3,5,6,3,9,4,4,0,7,3,8,8,1,5,7,6,3,5
117,TEST118,TEST118,4,0,2,2,5,0,5,2,5,6,2,1,7,8,9,1,3,10,0,6,9,7,1,3,1,9,2,4,7,6,4,7,10,7,6,10,7,4,9,4,7,7,5,6,7,4,7,5,10,7,0,2,7,2,7
118,TEST119,TEST119,8,3,10,7,8,7,5,1,5,7,0,2,5,1,1,1,3,5,5,4,3,0,9,3,1,3,2,1,8,6,5,3,5,4,0,5,4,9,0,8,3,6,7,10,3,0,2,1,10,0,3,1,3,1,7
119,TEST120,TEST120,5,6,0,2,5,8,0,10,4,7,6,9,5,7,8,8,5,4,6,5,3,4,8,5,0,7,0,8,5,10,7,7,4,5,8,5,0,9,3,5,9,1,8,1,9,8,2,2,9,8,8,8,4,2,6
120,TEST121,TEST121,0,0,2,4,2,6,3,8,6,7,6,0,9,2,7,3,9,3,10,0,8,10,7,10,10,5,2,3,2,2,8,0,9,0,10,2,5,5,6,5,9,2,5,2,3,3,3,4,8,2,1,1,6,1,8
121,TEST122,TEST122,2,5,0,7,3,10,9,2,3,3,1,6,2,10,4,9,1,3,2,10,4,1,5,2,9,2,4,3,10,10,8,4,5,8,2,0,10,9,5,3,5,5,4,6,6,5,3,6,2,1,5,2,7,4,0
122,TEST123,TEST123,2,9,3,0,0,7,1,4,8,1,9,8,1,2,3,1,2,7,10,7,4,9,9,3,3,4,10,6,5,3,4,10,5,2,0,9,9,0,3,10,5,1,3,1,8,2,0,0,2,2,3,6,2,1,3
123,TEST124,TEST124,10,0,4,3,5,0,8,2,10,6,10,2,6,7,6,2,3,5,7,8,0,1,1,4,6,9,6,6,0,8,9,5,10,3,2,2,8,4,0,3,2,2,9,1,1,5,3,8,3,10,10,10,3,9,3
124,TEST125,TEST125,4,8,2,2,1,0,0,3,0,3,7,9,3,0,8,1,3,3,9,5,6,6,2,7,2,7,6,7,4,0,6,4,6,10,6,6,3,3,4,6,10,4,1,0,4,5,6,4,3,4,9,8,10,4,2
125,TEST126,TEST126,5,1,0,8,9,5,10,3,8,10,2,6,10,1,3,6,3,1,8,4,0,2,3,7,3,3,5,5,9,10,8,8,10,6,6,1,2,9,4,1,0,6,3,8,5,5,9,6,2,8,9,7,1,1,10
126,TEST127,TEST127,0,9,8,2,7,7,10,6,5,4,3,0,0,0,9,0,3,3,9,9,9,0,4,8,6,3,1,6,8,2,3,8,8,10,10,8,6,3,6,1,5,3,10,8,1,6,9,8,3,2,9,6,9,0,2
127,TEST128,TEST128,4,2,6,0,3,7,2,3,5,1,5,3,3,4,1,8,6,3,9,0,9,3,5,6,2,1,5,7,4,10,7,8,7,6,7,10,2,5,5,8,3,2,7,3,6,0,10,7,0,4,4,9,9,0,5
128,TEST129,TEST129,8,9,7,10,1,9,8,9,1,3,2,6,4,3,7,3,1,7,6,10,0,7,6,8,10,2,8,2,8,4,3,3,6,7,8,7,5,0,7,9,8,1,9,3,8,6,9,8,7,8,7,5,3,2,8
129,TEST130,TEST130,6,10,7,3,4,7,6,3,3,6,5,0,4,8,0,7,1,1,5,3,2,3,3,4,0,7,7,1,8,8,9,2,9,7,4,3,0,3,7,6,2,4,6,3,8,0,1,10,1,1,2,6,8,6,6
130,TEST131,TEST131,5,10,10,7,6,7,1,6,2,0,0,7,7,7,1,5,7,4,9,4,9,0,7,6,7,8,9,7,4,6,7,3,7,10,0,7,8,1,6,0,3,4,6,6,2,7,2,10,10,2,9,5,1,7,0
131,TEST132,TEST132,4,7,1,0,2,7,6,0,0,6,10,1,5,5,10,5,2,9,3,10,10,7,2,3,1,5,8,9,3,5,6,8,4,10,1,8,6,8,5,0,6,1,4,10,2,7,0,7,1,2,3,9,10,6,1
132,TEST133,TEST133,3,8,5,5,2,8,2,6,4,4,6,2,8,3,3,3,5,2,8,10,10,9,8,8,6,9,0,9,5,7,2,4,4,7,4,3,8,9,9,5,1,1,0,7,9,9,9,6,5,1,5,2,10,2,1
133,TEST134,TEST134,8,4,5,4,4,1,4,8,1,1,10,3,0,1,10,3,9,6,4,7,10,5,10,5,5,10,0,5,6,0,0,3,2,5,3,9,6,8,3,0,8,9,2,4,5,3,6,1,2,7,2,4,8,5,5
134,TEST135,TEST135,0,9,3,3,7,6,5,9,0,2,10,7,9,0,1,1,5,10,3,0,1,8,0,7,8,7,4,8,10,2,0,3,4,1,8,9,5,8,10,7,2,4,3,9,7,1,9,6,0,8,7,1,0,0,2
135,TEST136,TEST136,10,9,6,4,3,0,10,5,2,10,2,5,1,4,2,10,7,7,7,3,9,9,8,1,0,1,9,10,2,3,5,4,10,8,9,4,2,2,3,3,0,9,10,6,0,2,4,1,9,3,9,4,4,7,2
136,TEST137,TEST137,9,6,8,6,4,9,7,8,3,6,4,8,8,7,5,3,9,0,8,9,0,8,3,8,8,3,1,3,8,9,10,1,6,6,8,8,9,1,10,1,2,8,4,2,9,9,10,10,5,8,0,8,5,7,6
137,TEST138,TEST138,3,10,7,3,10,6,1,10,3,2,9,7,5,4,10,10,8,8,4,4,6,6,3,1,10,1,4,1,7,3,6,9,7,6,6,2,8,5,7,7,0,8,7,9,1,8,7,4,8,7,7,4,6,1,4
138,TEST139,TEST139,10,9,3,9,7,6,8,0,10,3,0,5,7,10,4,0,8,1,1,5,9,4,9,0,1,7,6,8,3,2,2,0,0,10,5,8,8,5,3,8,2,1,1,4,5,1,9,9,8,0,7,7,3,8,2
139,TEST140,TEST140,5,10,5,6,3,1,1,7,9,0,1,9,3,4,10,3,7,10,6,8,10,10,5,4,9,9,9,7,9,8,3,6,10,7,0,9,9,3,8,9,5,7,2,5,10,2,8,10,0,10,5,10,4,3,3
140,TEST141,TEST141,8,7,6,0,3,9,4,4,7,9,4,10,8,1,2,3,3,6,2,8,10,8,0,1,1,1,3,10,1,1,0,0,1,9,10,7,4,5,2,6,6,5,5,1,4,10,1,0,1,1,7,3,3,10,4
141,TEST142,TEST142,10,0,0,4,5,3,10,7,3,9,9,1,10,1,1,1,2,8,1,6,3,6,1,3,2,6,7,5,4,2,6,4,6,0,10,3,4,2,8,6,0,4,1,1,2,1,3,7,1,8,7,1,6,5,2
142,TEST143,TEST143,10,1,1,1,1,6,8,4,2,5,10,10,7,2,7,8,0,6,7,8,4,9,3,0,9,7,3,10,7,10,4,10,1,5,8,6,2,8,8,9,3,9,8,6,0,3,6,7,6,5,1,1,8,4,1
143,TEST144,TEST144,7,8,10,7,8,1,6,3,3,2,3,2,2,3,1,0,1,5,9,6,1,5,7,9,2,10,6,2,9,3,4,7,0,5,4,5,6,4,5,1,5,4,10,0,10,6,7,8,6,2,5,4,9,1,5
144,TEST145,TEST145,3,6,5,6,10,3,2,6,10,1,3,3,8,9,5,2,7,8,8,8,3,8,5,8,6,9,5,2,2,6,9,1,8,10,0,1,0,5,2,5,5,8,3,4,10,1,4,0,0,7,2,3,9,2,5
145,TEST146,TEST146,10,9,2,8,2,6,1,4,0,5,10,7,3,5,0,10,0,9,6,3,6,6,7,9,3,0,10,3,0,3,2,10,6,1,1,5,2,2,5,3,9,10,10,10,0,8,7,7,8,5,8,4,2,6,4
146,TEST147,TEST147,2,6,9,7,9,9,3,0,10,4,8,8,4,4,7,8,2,5,7,2,2,5,3,10,4,8,5,10,8,4,0,8,9,2,0,0,1,1,3,4,1,9,4,1,4,9,8,3,2,0,5,5,8,0,4
147,TEST148,TEST148,10,2,7,5,3,4,5,5,1,9,6,2,6,6,5,6,4,2,2,8,8,1,2,5,0,6,5,6,3,6,8,10,8,6,5,10,3,8,6,3,9,7,9,4,0,5,1,4,10,1,2,6,4,7,7
148,TEST149,TEST149,5,4,9,8,9,6,2,6,9,6,8,4,10,6,8,3,4,7,7,3,1,7,8,9,5,6,9,9,7,6,1,1,10,0,6,10,10,8,1,7,10,0,4,9,7,7,7,8,0,5,3,10,1,6,4
149,TEST150,TEST150,5,6,0,4,9,7,3,7,2,9,4,2,8,9,0,5,5,2,10,10,2,2,0,8,0,4,6,3,9,7,8,2,5,3,10,10,1,8,7,0,2,9,4,8,5,3,7,5,10,7,4,7,6,0,3
